ev_id,ntsb_no,latitude,longitude,flt_plan_filed,flight_plan_activated,regis_no,dprt_apt_id,dest_apt_id
20001205X00119,ANC99IA027,644800N,1475158W,IFR ,Y,N934AS,FAI ,ANC 
20001211X11043,FTW98FA380,293626N,0950931W,IFR ,Y,N316UP,SDF ,EFD 
20001211X11573,LAX99FA051,335655N,1182449W,NONE,N,N554CL,SAN ,LAX 
20001212X18855,NYC99FAMS3,415432N,0704343W,NONE,N,N8235Z,OWD ,
20001212X19017,LAX99FA218,335619N,1182432W,IFR ,Y,F-GTOM,FPO ,LAX 
20001212X19310,LAX99MA251,385854N,1194022W,NONE,N,N807BB,MEV ,
20001212X19975,LAX00FA017,341740N,1192008W,NONE,N,N5169B,SBA ,SNA 
20001212X20136,MIA00FA030,324704N,0885534W,NONE,N,N8144M,TCL ,JAN 
20001212X20258,LAX00FA061,332459N,1182755W,CVFR,N,N3593S,,
20001212X20356,FTW00FA070,293313N,0982859W,IFR ,N,N386TM,SAT ,TUS 
20001212X20387,LAX00LA071,331600N,1114800W,NONE,N,N89678,P19 ,
20001212X20391,LAX00LA076,320000N,1150000W,NONE,N,N436SD,,
20001212X20505,LAX00FA101,335000N,1163100W,NONE,N,N6479D,PSP ,UDD 
20001212X20507,LAX00IA106,363430N,1190530W,IFR ,Y,N566SW,LAX ,FAT 
20001212X20521,LAX00LA105,404900N,1154730W,NONE,N,N4011Y,EKO ,
20001212X20536,MIA00LA091,334657N,0834134W,IFR ,N,N101ET,D73 ,AIK 
20001212X20573,ANC00IA034,644800N,1475158W,IFR ,Y,N949AS,FAI ,ANC 
20001212X20624,FTW00FA101,310509N,0974111W,IFR ,Y,N353SB,DFW ,ILE 
20001212X20657,LAX00FA123,392200N,1211500W,NONE,,N8351F,RNO ,MYV 
20001212X20658,LAX00FA126,332115N,1171503W,NONE,N,N95996,L18 ,SJC 
20001212X20659,LAX00FA130,372911N,1202102W,CVFR,N,N415B,FAT ,SMF 
20001212X20660,LAX00FA134,340705N,1172301W,NONE,N,N8328Q,EMT ,L67 
20001212X20664,LAX00IA127,373713N,1222248W,IFR ,Y,N516DA,SFO ,SLC 
20001212X20667,LAX00LA116,353700N,1192100W,NONE,N,N1354X,MIT ,
20001212X20669,LAX00LA118,330748N,1153118W,NONE,N,N39FA,CLR ,CLR 
20001212X20689,MIA00FA118,301340N,0854311W,NONE,N,N9204P,04A ,PFN 
20001212X20830,IAD00LA031,404914N,0765150W,NONE,N,N1923L,SEG ,
20001212X20834,LAX00FA151,335200N,1175800W,NONE,N,N6791P,FUL ,VNY 
20001212X20836,LAX00FA160,335749N,1120833W,CVFR,N,N2267N,GCN ,
20001212X20843,LAX00GA158,394002N,1195234W,IFR ,N,N7046U,4SD ,
20001212X20849,LAX00LA149,364634N,1194309W,NONE,N,N2500T,FAT ,
20001212X20856,LAX00LA157,420000N,1223000W,IFR ,Y,N1682U,SBA ,RDM 
20001212X20873,MIA00FA129,012900N,0753200W,IFR ,Y,N86BE,OPF ,MAI 
20001212X20880,MIA00LA133,275920N,0820107W,NONE,N,N905AS,LAL ,
20001212X21025,LAX00FA191,210738N,1570859W,IFR ,Y,N241H,OGG ,MKK 
20001212X21030,LAX00GA185,354000N,1174000W,MVFR,N,N32229,NID ,NID 
20001212X21033,LAX00LA183,353904N,1120852W,NONE,N,N1726X,DVT ,40G 
