date,time,borough,zipcode,latitude,longitude,location,on_street,cross_street,off_street,inj,kill,ped_inj,ped_kill,cyc_inj,cyc_kill,mot_inj,mot_kill,cf_veh1,cf_veh2,cf_veh3,cf_veh4,cf_veh5,uniquekey,vehcode1,vehcode2,vehcode3,vehcode4,vehcode5
2018-03-17,00:00:00,BROOKLYN,11201,40.7007,-73.98869,"(40.7007,-73.98869)",PROSPECT STREET                 ,ADAMS STREET,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3864343,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2018-03-17,00:00:00,BROOKLYN,11207,40.65718,-73.88447,"(40.65718,-73.88447)",,,243       WORTMAN AVENUE                ,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3865549,PASSENGER VEHICLE,PICK-UP TRUCK,,,
2018-03-17,00:00:00,BROOKLYN,11215,40.670177,-73.99014,"(40.670177,-73.99014)",,,262       10 STREET                     ,0,0,0,0,0,0,0,0,Passenger Distraction,Following Too Closely,,,,3865340,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2018-03-17,00:00:00,BROOKLYN,11237,40.703403,-73.917786,"(40.703403,-73.917786)",STANHOPE STREET                 ,WYCKOFF AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3865359,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
2018-03-17,00:00:00,MANHATTAN,10033,40.85051,-73.93105,"(40.85051,-73.93105)",AUDUBON AVENUE                  ,WEST 184 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3864974,PASSENGER VEHICLE,,,,
2018-03-17,00:00:00,,,40.768482,-73.98208,"(40.768482,-73.98208)",BROADWAY                        ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3864634,BICYCLE,SPORT UTILITY / STATION WAGON,,,
2018-03-17,00:01:00,MANHATTAN,10016,40.74453,-73.97899,"(40.74453,-73.97899)",,,471       3 AVENUE                      ,0,0,0,0,0,0,0,0,Unspecified,,,,,3864158,SPORT UTILITY / STATION WAGON,,,,
2018-03-17,00:10:00,,,40.64254,-73.87652,"(40.64254,-73.87652)",BELT PARKWAY                    ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3864145,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
2018-03-17,00:11:00,MANHATTAN,10020,40.758644,-73.981346,"(40.758644,-73.981346)",AVENUE OF THE AMERICAS          ,WEST 48 STREET,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3864632,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
2018-03-17,00:15:00,,,40.77044,-73.91655,"(40.77044,-73.91655)",ASTORIA BOULEVARD               ,32 STREET,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3864744,SPORT UTILITY / STATION WAGON,TAXI,,,
2018-03-17,00:17:00,STATEN ISLAND,10305,40.612785,-74.074356,"(40.612785,-74.074356)",WHITE PLAINS AVENUE             ,AMITY STREET,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3864657,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
2018-03-17,00:25:00,MANHATTAN,10002,40.719482,-73.991295,"(40.719482,-73.991295)",DELANCEY STREET                 ,ELDRIDGE STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Oversized Vehicle,,,,3864193,TAXI,PICK-UP TRUCK,,,
2018-03-17,00:30:00,BROOKLYN,11210,40.635853,-73.945076,"(40.635853,-73.945076)",,,1506      NEW YORK AVENUE               ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3865060,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
2018-03-17,00:30:00,MANHATTAN,10036,40.759502,-73.989235,"(40.759502,-73.989235)",,,320       WEST 45 STREET                ,0,0,0,0,0,0,0,0,Unspecified,,,,,3864213,PASSENGER VEHICLE,,,,
2018-03-17,00:30:00,,,40.680214,-73.94628,"(40.680214,-73.94628)",FULTON STREET                   ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3865146,PASSENGER VEHICLE,,,,
2018-03-17,00:35:00,QUEENS,11378,40.72103,-73.904106,"(40.72103,-73.904106)",FLUSHING AVENUE                 ,61 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3864610,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
2018-03-17,00:35:00,,,40.675735,-73.89686,"(40.675735,-73.89686)",ATLANTIC AVENUE                 ,,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3864324,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2018-03-17,00:38:00,,,40.723347,-73.939316,"(40.723347,-73.939316)",MEEKER AVENUE                   ,MORGAN AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3864930,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
2018-03-17,00:40:00,,,40.647114,-73.94338,"(40.647114,-73.94338)",BROOKLYN AVENUE                 ,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3865059,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
2018-03-17,00:45:00,MANHATTAN,10017,40.752117,-73.97556,"(40.752117,-73.97556)",LEXINGTON AVENUE                ,EAST 43 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3864157,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2018-03-17,10:00:00,BROOKLYN,11236,40.64775,-73.9066,"(40.64775,-73.9066)",EAST 96 STREET                  ,FOSTER AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3865165,PASSENGER VEHICLE,,,,
2018-03-17,10:00:00,MANHATTAN,10065,40.764732,-73.96637,"(40.764732,-73.96637)",LEXINGTON AVENUE                ,EAST 63 STREET,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3865722,TAXI,SPORT UTILITY / STATION WAGON,,,
2018-03-17,10:00:00,,,40.751602,-73.93384,"(40.751602,-73.93384)",31 STREET                       ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3864749,SPORT UTILITY / STATION WAGON,,,,
2018-03-17,10:00:00,,,40.712833,-73.82741,"(40.712833,-73.82741)",82 AVENUE                       ,QUEENS BOULEVARD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3864269,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
2018-03-17,10:00:00,,,40.68342,-73.982,"(40.68342,-73.982)",BERGEN STREET                   ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3864261,PASSENGER VEHICLE,,,,
2018-03-17,10:00:00,,,40.807903,-73.92005,"(40.807903,-73.92005)",EAST 138 STREET                 ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3864245,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,,,
2018-03-17,10:00:00,,,40.684166,-73.92931,"(40.684166,-73.92931)",REID AVENUE                     ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3864847,TK,SPORT UTILITY / STATION WAGON,,,
2018-03-17,10:00:00,,,40.596508,-73.977516,"(40.596508,-73.977516)",WEST 6 STREET                   ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3864262,PICK-UP TRUCK,PASSENGER VEHICLE,,,
